 Iteración                Error                   xa                   xm
         0         1.0000100000         1.0000000000         2.0000000000
         1         0.5000000000         2.0000000000         1.5000000000
         2         0.2500000000         1.5000000000         1.7500000000
         3         0.1250000000         1.7500000000         1.8750000000
         4         0.0625000000         1.8750000000         1.8125000000
         5         0.0312500000         1.8125000000         1.8437500000
         6         0.0156250000         1.8437500000         1.8281250000
         7         0.0078125000         1.8281250000         1.8359375000
         8         0.0039062500         1.8359375000         1.8320312500
         9         0.0019531250         1.8320312500         1.8300781250
        10         0.0009765625         1.8300781250         1.8291015625
        11         0.0004882812         1.8291015625         1.8295898438
        12         0.0002441406         1.8295898438         1.8293457031
        13         0.0001220703         1.8293457031         1.8294677734
        14         0.0000610352         1.8294677734         1.8294067383
        15         0.0000305176         1.8294067383         1.8294372559
        16         0.0000152588         1.8294372559         1.8294525146
        17         0.0000076294         1.8294525146         1.8294601440
1.8294601440429688 es una aproximación de una raíz de f(x) con una tolerancia = 1e-05
